code,start,end,label,level_start_mm,level_at_12h_mm,delta_12h_mm
157B025030047,2025-09-08 21:00:00,2025-09-09 03:00:00,drain,6.244,1.453,-4.7909999999999995
157B025030068,2025-07-01 02:00:00,2025-07-01 11:00:00,drain,14.962,6.14,-8.822
157B025030068,2025-07-31 10:00:00,2025-07-31 12:00:00,drain,19.489,16.379,-3.1099999999999994
157B025030068,2025-08-31 11:00:00,2025-09-01 00:00:00,drain,13.04,4.667,-8.373
157B025030068,2025-09-14 11:00:00,2025-09-14 17:00:00,drain,5.362,1.807,-3.555
157B025030076,2025-07-01 02:00:00,2025-07-01 10:00:00,drain,10.36,3.813,-6.546999999999999
157B025030076,2025-07-21 06:00:00,2025-07-21 13:00:00,drain,5.775,2.485,-3.2900000000000005
157B025030077,2025-06-22 00:00:00,2025-06-22 08:00:00,drain,6.288,2.575,-3.713
157B025030077,2025-07-14 22:00:00,2025-07-15 01:00:00,drain,5.238,2.155,-3.0830000000000006
157B025030077,2025-08-08 07:00:00,2025-08-08 12:00:00,drain,3.547,0.324,-3.2230000000000003
157B025030077,2025-09-11 21:00:00,2025-09-12 00:00:00,drain,3.298,0.056,-3.242
157B025030085,2025-06-22 00:00:00,2025-06-22 07:00:00,drain,12.0,1.4,-10.6
157B025030085,2025-08-21 07:00:00,2025-08-21 09:00:00,drain,17.669,14.462,-3.2070000000000007
157B025030087,2025-06-18 09:00:00,2025-06-18 14:00:00,drain,8.344,1.081,-7.263
157B025030087,2025-06-21 15:00:00,2025-06-21 21:00:00,drain,10.231,4.367,-5.864
157B025030087,2025-06-23 11:00:00,2025-06-23 16:00:00,drain,5.34,1.787,-3.553
157B025030087,2025-07-06 11:00:00,2025-07-06 16:00:00,drain,12.012,4.831,-7.181
157B025030087,2025-07-06 20:00:00,2025-07-07 00:00:00,drain,8.8,1.859,-6.941000000000001
157B025030087,2025-07-08 14:00:00,2025-07-08 18:00:00,drain,6.72,3.694,-3.026
157B025030087,2025-07-11 10:00:00,2025-07-11 12:00:00,drain,12.14,4.7,-7.44
157B025030087,2025-07-11 14:00:00,2025-07-12 05:00:00,drain,10.481,1.844,-8.637
157B025030087,2025-07-17 10:00:00,2025-07-18 00:00:00,drain,11.468,5.7,-5.768
157B025030087,2025-07-19 07:00:00,2025-07-19 19:00:00,drain,13.46,2.833,-10.627
157B025030087,2025-08-11 08:00:00,2025-08-11 19:00:00,drain,12.9,6.856,-6.0440000000000005
157B025030087,2025-08-13 13:00:00,2025-08-13 19:00:00,drain,13.3,10.25,-3.0500000000000007
157B025030087,2025-08-20 10:00:00,2025-08-21 02:00:00,drain,12.083,7.287,-4.796
157B025030087,2025-08-30 14:00:00,2025-08-30 21:00:00,drain,9.476,6.3,-3.176000000000001
157B025030087,2025-09-12 05:00:00,2025-09-12 09:00:00,drain,2.831,0.075,-2.756
157B025030091,2025-07-11 22:00:00,2025-07-12 03:00:00,drain,6.8,3.694,-3.106
157B025030091,2025-08-01 21:00:00,2025-08-02 04:00:00,drain,6.943,3.801,-3.1419999999999995
157B025030091,2025-09-05 07:00:00,2025-09-05 12:00:00,drain,10.881,4.9,-5.981
157B025030093,2025-07-11 08:00:00,2025-07-11 12:00:00,drain,6.175,1.2,-4.975
157B025030093,2025-07-15 23:00:00,2025-07-16 01:00:00,drain,6.093,2.787,-3.306
