code,start,end,n_hours,max_slope,min_slope,avg_level
157B025010017,2025-07-16 19:00:00,2025-07-18 00:00:00,30,0.809000000000001,-1.3310000000000013,12.684
157B025010017,2025-07-18 01:00:00,2025-07-18 20:00:00,20,0.5879999999999992,-1.1990000000000016,11.582500000000001
157B025010017,2025-07-18 21:00:00,2025-07-19 01:00:00,5,0.023999999999999133,-4.148,10.4344
157B025010017,2025-07-19 02:00:00,2025-07-20 02:00:00,25,0.3979999999999997,-1.4090000000000003,3.4476000000000004
157B025010017,2025-07-20 03:00:00,2025-07-20 23:00:00,21,0.8899999999999997,-0.516,2.7021904761904763
157B025010025,2025-06-15 00:00:00,2025-06-16 22:00:00,45,0.3490000000000002,-0.6060000000000003,2.640688888888889
157B025010025,2025-06-16 23:00:00,2025-06-17 03:00:00,5,7.25,0.020000000000000018,4.1996
157B025010025,2025-06-17 04:00:00,2025-06-23 08:00:00,120,1.0070000000000001,-2.0439999999999996,2.7062083333333335
157B025010025,2025-06-23 09:00:00,2025-06-25 23:00:00,60,2.1359999999999997,-0.6220000000000003,3.6903333333333337
157B025010025,2025-06-26 00:00:00,2025-06-26 14:00:00,15,2.9000000000000004,-0.6310000000000002,8.896333333333333
157B025010025,2025-06-26 15:00:00,2025-06-27 00:00:00,10,0.03200000000000003,-0.1589999999999998,7.969300000000001
157B025010025,2025-06-27 01:00:00,2025-06-27 05:00:00,5,1.3650000000000002,0.29299999999999926,11.4228
157B025010025,2025-06-27 07:00:00,2025-06-27 11:00:00,5,-0.242,-3.266,8.0452
157B025010025,2025-06-27 12:00:00,2025-06-29 00:00:00,35,1.0390000000000006,-0.6559999999999997,5.890057142857143
157B025010025,2025-06-29 01:00:00,2025-06-29 22:00:00,20,1.4879999999999995,-0.3869999999999987,9.976849999999999
157B025010025,2025-06-29 23:00:00,2025-06-30 13:00:00,15,0.6470000000000002,-0.7259999999999991,11.173866666666665
157B025010025,2025-06-30 14:00:00,2025-06-30 18:00:00,5,0.18700000000000117,-0.47499999999999964,9.2416
157B025010025,2025-06-30 19:00:00,2025-06-30 23:00:00,5,0.19500000000000028,-1.3259999999999996,7.6322
157B025010025,2025-07-01 00:00:00,2025-07-02 00:00:00,25,0.3799999999999999,-0.29299999999999926,6.070400000000001
157B025010025,2025-07-02 01:00:00,2025-07-03 08:00:00,15,3.9929999999999994,-2.8970000000000002,10.4858
157B025010025,2025-07-03 09:00:00,2025-07-05 01:00:00,40,0.37100000000000044,-0.4629999999999992,8.178774999999998
157B025010025,2025-07-05 02:00:00,2025-07-07 21:00:00,65,0.7349999999999994,-0.5499999999999989,11.175461538461539
157B025010025,2025-07-07 22:00:00,2025-07-08 12:00:00,15,1.995000000000001,-0.44400000000000084,12.849999999999998
157B025010025,2025-07-08 13:00:00,2025-07-08 23:00:00,10,0.11299999999999955,-0.19299999999999962,11.2027
157B025010025,2025-07-09 00:00:00,2025-07-10 06:00:00,30,0.37400000000000055,-0.5469999999999988,10.212266666666666
157B025010025,2025-07-10 07:00:00,2025-07-13 02:00:00,65,1.3689999999999998,-0.4789999999999992,9.288753846153845
157B025010025,2025-07-13 03:00:00,2025-07-14 01:00:00,20,0.35299999999999976,-0.22000000000000064,8.513850000000001
157B025010025,2025-07-14 02:00:00,2025-07-15 07:00:00,30,1.096,-0.3330000000000002,10.732233333333333
