device,manual_periods,algo_count,tp,fp,fn,precision,recall,f1_score,miss_rate,false_positive_rate,match_strategy,strategy
157B025030034,3,2,0,2,3,0.0,0.0,0.0,1.0,1.0,iou,IoU≥0.5
157B025030037,1,1,0,1,1,0.0,0.0,0.0,1.0,1.0,iou,IoU≥0.5
157B025030039,10,10,4,6,6,0.4,0.4,0.4000000000000001,0.6,0.6,iou,IoU≥0.5
157B025030042,8,8,1,7,7,0.125,0.125,0.125,0.875,0.875,iou,IoU≥0.5
157B025030044,9,8,4,4,5,0.5,0.4444444444444444,0.47058823529411764,0.5555555555555556,0.5,iou,IoU≥0.5
157B025030046,3,2,0,2,3,0.0,0.0,0.0,1.0,1.0,iou,IoU≥0.5
157B025030047,5,5,2,3,3,0.4,0.4,0.4000000000000001,0.6,0.6,iou,IoU≥0.5
157B025030068,6,4,2,2,4,0.5,0.3333333333333333,0.4,0.6666666666666666,0.5,iou,IoU≥0.5
157B025030076,3,2,0,2,3,0.0,0.0,0.0,1.0,1.0,iou,IoU≥0.5
157B025030077,4,4,1,3,3,0.25,0.25,0.25,0.75,0.75,iou,IoU≥0.5
157B025030079,1,0,0,0,1,0.0,0.0,0.0,1.0,0.0,iou,IoU≥0.5
157B025030085,2,2,1,1,1,0.5,0.5,0.5,0.5,0.5,iou,IoU≥0.5
157B025030087,22,15,6,9,16,0.4,0.2727272727272727,0.3243243243243243,0.7272727272727273,0.6,iou,IoU≥0.5
157B025030091,3,3,1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,iou,IoU≥0.5
157B025030093,1,2,0,2,1,0.0,0.0,0.0,1.0,1.0,iou,IoU≥0.5
