param_n_estimators,param_max_depth,param_min_samples_leaf,param_max_features,mean_test_score,std_test_score
200,,5,log2,0.9832109548466178,0.004887835180810827
300,,5,log2,0.9833388201130356,0.00491407359314113
100,,1,,0.9854645022821549,0.00686262110744627
200,,1,,0.9851651251112145,0.0065782282626609834
300,,1,,0.9851584726391855,0.006846054711056907
100,,3,,0.984517473993834,0.006328586405818264
200,,3,,0.9848632711558679,0.0063856131855861455
300,,3,,0.9848196051914258,0.006334556579225778
100,,5,,0.9832074044125028,0.005149006677733335
200,,5,,0.9833737823471758,0.005417990919907066
300,,5,,0.9839281647877808,0.005307610391853186
